herria,ehunekoa,errefusa
Donostia,33,288
Astigarraga,84,41
Errenteria,32,236
Lezo,84,36
Oiartzun,77,63
Hernani,79,57
Urnieta,43,212
Usurbil,84,79
Lasarte-Oria,34,224
Pasaia,57,134
Irun,,353
Hondarribia,,353
Zarautz,41,268
Zumaia,46,241
Getaria,33,419
Orio,39,263
Aia,40,388
Azpeitia,36,238
Azkoitia,55,150
Zestoa,47,188
Aizarnazabal,51,111
Beizama,31,235
Bidania-Goiatz,34,234
Errezil,32,236
Antzuola,82,62
Aretxabaleta,59,138
Arrasate,38,241
Bergara,79,70
Elgeta,40,234
Eskoriatza,64,119
Gatzaga,91,36
O̱ati,80,65
Eibar,41,215
Elgoibar,37,257
Deba,23,319
Mutriku,31,275
Mendaro,23,357
Soraluze,36,223
Ermua,36,215
Mallabia,12,477
Zumarraga,38,207
Legazpi,83,45
Urretxu,46,172
Ezkio-Itsaso,43,138
Gabiria,49,91
Ormaiztegi,72,75
Mutiloa,62,145
Zerain,57,118
Segura,72,68
Zegama,55,137
Beasain,46,183
Idiazabal,45,176
Itsasondo,84,37
Ordizia,76,65
Olaberria,49,267
Lazkao,76,66
Ataun,79,53
Legorreta,73,68
Altzaga,67,100
Arama,86,31
Gaintza,63,144
Zaldibia,80,45
Abaltzisketa,58,
Aduna,58,
Albiztur,58,
Alegia,86,10
Alkiza,58,
Altzo,58,
Amezketa,58,
Andoain,33,
Anoeta,73,15
Asteasu,58,
Baliarrain,58,
Belauntza,58,
Berastegi,58,
Berrobi,58,
Elduain,58,
Gaztelu,58,
Hernialde,58,
Ibarra,84,26
Ikaztegieta,82,10
Irura,73,15
Larraul,58,
Leaburu,58,
Lizartza,58,
Orendain,58,
Orexa,58,
Tolosa,,
Villabona-Amasa,78,46
Zizurkil,62,26